Case #,Query,Top Match,Score,Score %,Match Type,String Score,Semantic Score,Match 1 Name,Match 1 Score,Match 1 Type,Match 2 Name,Match 2 Score,Match 2 Type,Match 3 Name,Match 3 Score,Match 3 Type,Match 4 Name,Match 4 Score,Match 4 Type,Match 5 Name,Match 5 Score,Match 5 Type,Match 6 Name,Match 6 Score,Match 6 Type,Match 7 Name,Match 7 Score,Match 7 Type,Match 8 Name,Match 8 Score,Match 8 Type,Match 9 Name,Match 9 Score,Match 9 Type,Match 10 Name,Match 10 Score,Match 10 Type,Match 11 Name,Match 11 Score,Match 11 Type,Match 12 Name,Match 12 Score,Match 12 Type,Match 13 Name,Match 13 Score,Match 13 Type,Match 14 Name,Match 14 Score,Match 14 Type,Match 15 Name,Match 15 Score,Match 15 Type,Match 16 Name,Match 16 Score,Match 16 Type,Match 17 Name,Match 17 Score,Match 17 Type,Match 18 Name,Match 18 Score,Match 18 Type,Match 19 Name,Match 19 Score,Match 19 Type,Match 20 Name,Match 20 Score,Match 20 Type
11,Seafood Nutrition Partnership,Seafood Nutrition Partnership,1.0000,100.00,exact,1.0000,6.7515,Seafood Nutrition Partnership,100.00%,exact,Sustainable Seafood Partnership,81.31%,hybrid,SEAFOOD NUTRITION,76.55%,hybrid,Seafood Products Association,59.49%,hybrid,Seafood Choices Alliance,59.48%,hybrid,Food Industries Seafood Association,59.23%,hybrid,Seafood Choices Alliances,58.84%,hybrid,Seafood Business Solutions,57.10%,hybrid,21st Century Seafood,56.94%,hybrid,Global Sustainable Seafood Initiative,56.87%,hybrid,Solutions for Seafood,56.84%,hybrid,SeaFood Industry Research Fund,56.71%,hybrid,Global Seafood Alliance,56.59%,hybrid,Global  Seafood Alliance,56.59%,hybrid,BC Seafood Alliance,56.36%,hybrid,Seafood Alliance,54.28%,hybrid,Handy Seafood,53.82%,hybrid,Seafood Export,52.91%,hybrid,Seafood Show,52.39%,hybrid,Blessing Seafood,52.35%,hybrid
12,"AVIAKOMPANIYA SIBIR, PAO","AVIAKOMPANIYA SIBIR, PAO",1.0000,100.00,exact,1.0000,4.4580,"AVIAKOMPANIYA SIBIR, PAO",100.00%,exact,AVIAKOMPANIYA MIZHNARODNI AVIA,58.97%,hybrid,Faizan Kabir,33.90%,hybrid,Ebira Vonya International,33.86%,hybrid,Shibir  Desai,33.45%,hybrid,Kabira,33.31%,hybrid,Salaha Kabir,32.26%,hybrid,Avyaya Integrated,32.16%,hybrid,Kabir Capital,31.64%,hybrid,Avyaya,31.49%,hybrid,Camp Kanya,31.47%,hybrid,Darya Varia,31.46%,hybrid,Albireo AB,31.20%,hybrid,Kabira Technology,30.72%,hybrid,Embiria,30.43%,hybrid,Albireo,30.35%,hybrid,Avia NG,29.45%,hybrid,OUBIRIN DAIGAKU,29.35%,hybrid,KABIRA TECHNOLOGIES INC,29.20%,hybrid,Somos Papaya,29.11%,hybrid
13,Hartford Hospital School of Nursing,Hartford Hospital School of Nursing,1.0000,100.00,exact,1.0000,6.0495,Hartford Hospital School of Nursing,100.00%,exact,Hartford Hospital Offices USA,83.44%,hybrid,Hartford School District,74.96%,hybrid,New Hartford School,74.25%,hybrid,Hartford Hospital,74.10%,hybrid,Hartford Elementary School,73.88%,hybrid,Hartford High School,73.71%,hybrid,Hartford Art School,72.74%,hybrid,JEFFERSON HOSPITAL NURSING SCHOOL,69.72%,hybrid,Philadelphia General Hospital School of Nursing,68.00%,hybrid,Rhode Island Hospital School of Nursing,67.71%,hybrid,Metropolitan Hospital School of Nursing,67.66%,hybrid,Philadelphia General Hospital Nursing,66.49%,hybrid,Hartford Hospital Women's Health Service,65.50%,hybrid,Hartford Public Schools,59.05%,hybrid,Hartford,58.51%,hybrid,Hartford Family Institute,57.58%,hybrid,Hartford Healthcare,56.08%,hybrid,Hartford Schools,54.25%,hybrid,Hartford University,53.10%,hybrid
14,Internal J&J Meeting and Breakfast,Internal J&J Meeting and Breakfast,1.0000,100.00,exact,1.0000,4.8181,Internal J&J Meeting and Breakfast,100.00%,exact,AEP Breakfast Meeting,62.84%,hybrid,Breakfast Meeting NYC,62.68%,hybrid,Bisnow Breakfast Meeting,61.81%,hybrid,GMCVB Breakfast & Meeting,61.18%,hybrid,Breakfast Meeting Oct2018,60.94%,hybrid,Optos Breakfast Meeting,60.72%,hybrid,Clime - Breakfast meeting,60.65%,hybrid,Breakfast Meeting,59.40%,hybrid,Breakfast Before Business,52.77%,hybrid,Executive Breakfast Session,52.18%,hybrid,Morning after breakfast,50.84%,hybrid,Breakfast for Learning,50.26%,hybrid,Annual Members Breakfast,50.24%,hybrid,Local 1 Breakfast,49.46%,hybrid,Breakfast Club Seattle,48.84%,hybrid,Client Breakfast,48.76%,hybrid,Business Breakfast,48.71%,hybrid,Investment Breakfast Briefing,48.71%,hybrid,Breakfast Discussion,48.26%,hybrid
15,Spina Bifida Coalition of Cincinnati,Spina Bifida Coalition of Cincinnati,1.0000,100.00,exact,1.0000,5.3059,Spina Bifida Coalition of Cincinnati,100.00%,exact,"Spina Bifida Association of Cincinnati, Inc.",81.69%,hybrid,Spina Bifida Association of Michigan,74.96%,hybrid,Illinois Spina Bifida Association,74.71%,hybrid,Spina Bifida Association of Kentucky,74.30%,hybrid,Spina Bifida Resource Network,74.25%,hybrid,SPINA BIFIDA ASSOCIATION OF ALABAMA,74.22%,hybrid,Colorado Spina Bifida Association,74.09%,hybrid,SPINA BIFIDA ASSN AM,73.75%,hybrid,Spina Bifida Association of Massachusetts,73.59%,hybrid,Spina Bifida Association of America Headquarters,73.38%,hybrid,Spina Bifida Association of Southeast Florida,73.17%,hybrid,Spina Bifida Association of Central Florida,73.04%,hybrid,Spina Bifida Association of SE Michigan,72.16%,hybrid,Spina Bifida Natl Conf,72.08%,hybrid,Spina Bifida Foundation Association of Georgia,71.90%,hybrid,Spina Bifida Association,70.21%,hybrid,Spina Bifida,63.72%,hybrid,SPINA BIFINDA ASSOCIATION OF AMERICA,55.59%,hybrid,Spina Bifada Association of America,54.99%,hybrid
16,THE SOCA GROUP ORGANIZATION,THE SOCA GROUP ORGANIZATION,1.0000,100.00,exact,1.0000,6.0391,THE SOCA GROUP ORGANIZATION,100.00%,exact,Team SOCA,78.89%,hybrid,Soca Society,77.98%,hybrid,System Organization Group,75.95%,hybrid,SOCA Convention,75.83%,hybrid,Soca Takeover,75.40%,hybrid,Soca Passion,74.68%,hybrid,Organization Management Group,74.04%,hybrid,Four Organization,73.23%,hybrid,Membership Organization,73.21%,hybrid,SOCA,65.03%,hybrid,SoCal United,38.39%,hybrid,Socia Team,38.20%,hybrid,Socca Sa,36.95%,hybrid,Socata Users Group,36.07%,hybrid,Socii Group,35.88%,hybrid,SoCal Study Group,35.77%,hybrid,SoCo Group,35.70%,hybrid,SOC America Inc,35.11%,hybrid,Socata Group,34.71%,hybrid
17,Shiroyama Junior High School,Shiroyama Junior High School,1.0000,100.00,exact,1.0000,5.5160,Shiroyama Junior High School,100.00%,exact,Heights Christian Junior High School,80.37%,hybrid,Junior High School 45,79.70%,hybrid,Haga Junior High School,79.62%,hybrid,Jubail Junior High School,79.30%,hybrid,CARROLL JUNIOR HIGH SCHOOL,79.03%,hybrid,Junior High School 22,79.00%,hybrid,South Junior High School,78.95%,hybrid,Hardin Junior High School,78.81%,hybrid,Durand Junior High School,78.53%,hybrid,Kirby Junior High School,78.33%,hybrid,Clara Junior High School,78.29%,hybrid,Seminole Junior High School,78.14%,hybrid,George WA High School,70.38%,hybrid,East Bernard High School,69.98%,hybrid,CS Junior High,69.12%,hybrid,Oakland Junior High,68.51%,hybrid,Wahama High School,68.33%,hybrid,Beaver High School,65.47%,hybrid,Shiloh High School,65.09%,hybrid
18,National Home Health,National Home Health,1.0000,100.00,exact,1.0000,6.3145,National Home Health,100.00%,exact,National Home Health Care,90.10%,hybrid,National Home Healthcare,90.01%,hybrid,Community Home Health,87.80%,hybrid,RESIDENTIAL HOME HEALTH,87.59%,hybrid,Comprehensive Home Health,87.49%,hybrid,American Home Health,87.17%,hybrid,Assisted Home Health,86.86%,hybrid,One Home Health,86.85%,hybrid,Alternative Home Health,86.80%,hybrid,Family Home Health,86.71%,hybrid,Associated Home Health,86.65%,hybrid,Vital Care Home Health,85.97%,hybrid,progressive home health,85.90%,hybrid,National Home Health  Care Conference,85.87%,hybrid,Suburban Home Health,85.84%,hybrid,Community Home Health Services,85.75%,hybrid,Renew Home Health,85.65%,hybrid,Options Home Health,85.53%,hybrid,Legacy Home Health Care,85.48%,hybrid
19,American News Women's Club,American News Women's Club,1.0000,100.00,exact,1.0000,5.0290,American News Women's Club,100.00%,exact,American Women's Club,77.82%,hybrid,American Women Club,75.55%,hybrid,DC Democratic Women's Club,73.35%,hybrid,UM Women's Club,68.65%,hybrid,Women's International Club,68.13%,hybrid,International Women's Club,68.07%,hybrid,Women's Business Club,67.99%,hybrid,Women's Democratic Club,67.75%,hybrid,American Girl Club,67.61%,hybrid,Democratic Women's Club,67.50%,hybrid,American Business Club,66.98%,hybrid,Women's Sporting Club,66.89%,hybrid,American Club,58.20%,hybrid,Women in Management Club,56.73%,hybrid,American Business Women Association,56.65%,hybrid,American Women Business Association,56.64%,hybrid,Washington Ladies Riding Club Association,55.81%,hybrid,Lovely Ladies Social Club,55.69%,hybrid,Washington Womens Fitness Club,55.51%,hybrid
20,Denise Roberge,Denise Roberge,1.0000,100.00,exact,1.0000,6.5113,Denise Roberge,100.00%,exact,Tamara Denise,73.13%,hybrid,Denise Long,72.57%,hybrid,Tasha Denise,72.45%,hybrid,Sandra Denise,72.39%,hybrid,Denise O,71.47%,hybrid,Denise Michelle,71.28%,hybrid,Tamra Denise,71.07%,hybrid,DENISE ACCOUNTS,70.96%,hybrid,Denise Abril,70.86%,hybrid,Denise Beard,70.82%,hybrid,Denise Gour,70.78%,hybrid,Denise White,70.75%,hybrid,Denise Reed,70.61%,hybrid,Charmaine Denise,70.50%,hybrid,Denise M.,70.37%,hybrid,Denise Burns,70.33%,hybrid,Denise Wallack,70.32%,hybrid,Denise Barrow,70.27%,hybrid,CeCi Denise,70.27%,hybrid
